id,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
65,Alexander Poppeck,Record: 9-3-0,"6'' 2'"",205,,Orthodox,Apr 06 1992,4.01,0,57,0,9.81,0,33,0
66,Grigory Popov,Record: 13-3-0,"5'' 7'"",135,68,Switch,Apr 18 1984,3.63,0,37,0,4.2,45,55,0
67,Santiago Ponzinibbio,Record: 29-5-0,"6'' 0'"",170,73,Orthodox,Sep 26 1986,4.79,0.51,40,33,4.51,60,61,0
68,Mike Polchlopek,Record: 1-1-0,"6'' 4'"",285,,Orthodox,Dec 27 1965,2,0,38,0,1.33,0,57,0
69,Brandon Polcare,Record: 1-1-0,--,125,,"",--,0.43,0,50,0,0,0,0,0
70,Julia Polastri,Record: 8-3-0,"5'' 2'"",125,63,Orthodox,Mar 05 1998,4.33,0,49,0,4.67,42,57,0
71,John Polakowski,Record: 2-2-0,"5'' 10'"",155,,Orthodox,Jun 21 1981,2.6,0,26,0,2.83,87,50,0.7
72,Igor Pokrajac,Record: 28-13-0 (1 NC),"6'' 0'"",205,74,Orthodox,Jan 02 1979,2.25,0.87,45,29,4.26,51,40,0.2
73,Dustin Poirier,Record: 28-7-0 (1 NC),"5'' 9'"",155,72,Southpaw,Jan 19 1989,5.61,1.44,50,36,4.28,64,53,1.2
74,Ross Pointon,Record: 6-17-0,"5'' 8'"",170,,Orthodox,Feb 18 1980,2.62,1.19,23,100,2.77,0,58,0
75,Jamal Pogues,Record: 7-2-0,"6'' 3'"",205,77,Orthodox,Dec 01 1995,3.27,7,74,63,3.07,100,56,0
76,Dmitry Poberezhets,Record: 24-5-1 (1 NC),"6'' 3'"",237,,"",Jun 11 1985,0,0,0,0,0,0,0,0
77,Maki Pitolo,Record: 13-9-0,"5'' 10'"",185,75,Orthodox,Nov 24 1990,4.1,2.24,44,52,3.93,50,55,0.8
78,Gaetano Pirrello,Record: 15-7-1,"5'' 7'"",135,65,Orthodox,Apr 29 1992,0.99,0,55,0,2.44,30,42,0
79,Luana Pinheiro,Record: 10-1-0,"5'' 2'"",115,62,Orthodox,Nov 18 1992,4.49,4.76,41,77,3.4,0,60,0.7
80,Pingyuan Liu,Record: 13-7-0,"5'' 6'"",135,72,Orthodox,Feb 13 1993,2.36,0.25,33,20,2.99,56,54,1
81,Jesus Pinedo,Record: 16-5-1,"5'' 10'"",155,,Southpaw,Jun 22 1996,3.23,2.5,38,100,4.37,100,52,0
82,Daniel Pineda,Record: 27-14-0 (3 NC),"5'' 7'"",145,69,Orthodox,Aug 06 1985,3.35,1.42,48,22,2.97,42,45,1.6
83,Paddy Pimblett,Record: 18-3-0,"5'' 10'"",155,73,Orthodox,Jan 03 1995,6.07,1.82,57,25,3.89,0,46,1.8
84,Domingo Pilarte,Record: 8-3-0 (1 NC),"6'' 0'"",135,73,Southpaw,Jan 05 1990,1.31,1.2,47,42,2.96,54,40,0.8
85,Sean Pierson,Record: 14-6-0,"6'' 0'"",170,76,Southpaw,Mar 10 1976,3.84,0.39,39,18,3.73,66,64,0.4
86,Joao Pierini,Record: 4-1-0,"6'' 1'"",155,,Switch,Dec 11 1971,0.76,0,14,0,4.56,0,33,0
87,Mike Pierce,Record: 17-7-0,"5'' 8'"",170,71,Orthodox,Sep 01 1980,2.62,3.08,42,42,2.36,71,62,0.2
