id,fighter_url,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
2589,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,Tanner Boser,Record: 21-10-1,"6' 2""",205,75,Orthodox,Aug 02 1991,4.7,0.0,52.0,0.0,2.75,63.0,58.0,0.0
2590,http://ufcstats.com/fighter-details/19c591115a58982c,Viacheslav Borshchev,Record: 7-3-0,"5' 11""",155,69,Orthodox,Jan 08 1992,4.63,0.0,57.0,0.0,3.44,35.0,56.0,0.0
2591,http://ufcstats.com/fighter-details/b8fdb2903a2582a8,Zachary Borrego,Record: 3-1-0,"6' 2""",185,78,Switch,Jul 18 1996,0.0,0.0,0.0,0.0,1.94,0.0,33.0,0.0
2592,http://ufcstats.com/fighter-details/4126a78111c0855a,Caio Borralho,Record: 14-1-0 (1 NC),"5' 10""",185,75,Southpaw,Jan 16 1993,2.59,2.63,61.0,66.0,1.86,57.0,59.0,0.7
2593,http://ufcstats.com/fighter-details/3c85e04b08a05751,Calen Born,Record: 7-1-0,"5' 8""",170,72,Switch,May 24 1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2594,http://ufcstats.com/fighter-details/34b96d52db1d26e6,Kevin Borjas,Record: 9-1-0,"5' 5""",125,68,Orthodox,Dec 06 1997,5.8,0.0,44.0,0.0,2.87,58.0,55.0,0.0
2595,http://ufcstats.com/fighter-details/0313bf497de9c470,Igor Borisov,Record: 1-1-0,"6' 0""",235,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2596,http://ufcstats.com/fighter-details/a4de54ea806fb525,Ray Borg,Record: 13-5-0,"5' 4""",135,63,Orthodox,Aug 04 1993,1.52,3.89,52.0,50.0,1.93,46.0,48.0,1.0
2597,http://ufcstats.com/fighter-details/07a2bdaa0afdd831,Rogerio Bontorin,Record: 16-4-0 (2 NC),"5' 5""",125,67,Orthodox,Apr 25 1992,2.63,2.9,52.0,60.0,3.27,51.0,50.0,1.0
2598,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb,Stephan Bonnar,Record: 15-9-0,"6' 4""",205,79,Orthodox,Apr 04 1977,2.76,1.32,38.0,40.0,3.01,60.0,52.0,1.0
2599,http://ufcstats.com/fighter-details/d311fbefff44a39b,Marcos Bonilla,Record: 4-4-0,"5' 10""",145,,,--,0.47,0.0,12.0,0.0,0.47,0.0,94.0,0.0
2600,http://ufcstats.com/fighter-details/934de214814b8ff4,Jesse Bongfeldt,Record: 16-5-1,"6' 0""",185,,Orthodox,Aug 28 1980,2.91,1.51,62.0,33.0,1.01,33.0,50.0,0.0
2601,http://ufcstats.com/fighter-details/eb393afdbe3293d5,Ismael Bonfim,Record: 19-4-0,"5' 8""",155,71,Orthodox,Dec 28 1995,4.91,1.11,57.0,28.0,2.66,81.0,76.0,0.0
2602,http://ufcstats.com/fighter-details/01641ba5df0c69b0,Gabriel Bonfim,Record: 15-0-0,"6' 1""",170,72,Orthodox,Aug 20 1997,6.08,4.8,37.0,100.0,4.8,100.0,66.0,7.2
2603,http://ufcstats.com/fighter-details/702a72aa7a266d86,Tony Bonello,Record: 16-3-1 (1 NC),"6' 2""",185,,,--,0.62,0.0,33.0,0.0,12.62,0.0,10.0,0.0
2604,http://ufcstats.com/fighter-details/8691881b31c16b88,Luc Bondole,Record: 5-2-2,"6' 2""",205,,,--,3.35,0.0,51.0,0.0,2.04,0.0,62.0,1.8
2605,http://ufcstats.com/fighter-details/2526be54e6a0e62a,Denys Bondar,Record: 16-5-0,"5' 6""",125,69,Orthodox,Jun 27 1992,4.89,2.75,45.0,50.0,6.42,62.0,56.0,0.0
2606,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35,Kyle Bolt,Record: 8-4-0,"6' 2""",185,,,--,7.27,0.0,52.0,0.0,7.27,0.0,45.0,0.0
2607,http://ufcstats.com/fighter-details/96924b0019b3aff1,Gaston Bolanos,Record: 7-3-0,"5' 7""",135,69,Orthodox,Sep 14 1992,4.2,0.0,49.0,0.0,1.13,40.0,56.0,0.0
2608,http://ufcstats.com/fighter-details/d227958e8a0c1466,Kotetsu Boku,Record: 25-11-2,"5' 9""",154,,Orthodox,May 27 1977,2.47,0.0,42.0,0.0,2.8,0.0,53.0,0.0
2609,http://ufcstats.com/fighter-details/297a2b35444c245b,Mandy Bohm,Record: 8-2-0 (1 NC),"5' 7""",125,71,Orthodox,Jul 30 1989,2.51,0.72,45.0,18.0,3.24,75.0,60.0,0.7
2610,http://ufcstats.com/fighter-details/93892752c5fc23ca,Jerry Bohlander,Record: 11-4-0,"5' 11""",199,,Orthodox,Feb 12 1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2611,http://ufcstats.com/fighter-details/70a1c7626b5e0599,Derek Bohi,Record: 8-5-0,"6' 4""",260,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2612,http://ufcstats.com/fighter-details/d61316139d68dbe3,Roman Bogatov,Record: 10-1-0,"5' 8""",155,73,Orthodox,Dec 15 1990,3.33,1.0,42.0,9.0,4.4,50.0,44.0,0.0
2613,http://ufcstats.com/fighter-details/53c21779d84ceb75,Jay Bogan,Record: 6-6-0,--,145,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2614,http://ufcstats.com/fighter-details/8a56ea383fd26e52,Galore Bofando,Record: 5-3-0,"5' 11""",170,72,Switch,May 22 1982,3.63,2.37,45.0,100.0,3.63,50.0,54.0,0.0
2615,http://ufcstats.com/fighter-details/c80095f6092271a7,Tim Boetsch,Record: 21-13-0,"6' 0""",185,74,Orthodox,Jan 28 1981,2.93,1.45,50.0,34.0,2.9,59.0,57.0,0.8
2616,http://ufcstats.com/fighter-details/1afd74f8cb0719f3,Jeremy Boczulak,Record: 0-2-0,--,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2617,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9,James Bochnovic,Record: 8-3-0,"6' 4""",205,81,Orthodox,Feb 13 1989,0.65,0.0,26.0,0.0,3.64,0.0,21.0,0.0
2618,http://ufcstats.com/fighter-details/c5af5750e8bae4f0,Kyle Bochniak,Record: 8-5-0,"5' 7""",145,70,Orthodox,Feb 05 1987,2.63,1.14,31.0,15.0,5.11,62.0,58.0,0.0
2619,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce,Mark Bocek,Record: 12-5-0,"5' 8""",155,75,Orthodox,Oct 24 1981,2.34,3.65,43.0,36.0,2.32,31.0,60.0,1.3
2620,http://ufcstats.com/fighter-details/f348d05403fad037,Dan Bobish,Record: 17-9-0,"6' 2""",345,,Southpaw,Jan 26 1970,2.06,2.44,44.0,42.0,1.74,0.0,34.0,1.6
2621,http://ufcstats.com/fighter-details/046a85108610c0d2,Dashawn Boatwright,Record: 3-1-0,"6' 0""",205,,Orthodox,Feb 29 1988,0.0,0.0,0.0,0.0,52.5,0.0,12.0,0.0
2622,http://ufcstats.com/fighter-details/ecdf14f4f8643d39,Byron Bloodworth,Record: 6-3-0,"5' 8""",135,,Orthodox,Aug 16 1983,1.82,0.0,28.0,0.0,5.18,0.0,50.0,0.0
2623,http://ufcstats.com/fighter-details/35d6337320a4ae48,Arlene Blencowe,Record: 9-6-0,"5' 5""",145,,,Apr 11 1983,2.31,0.0,43.0,0.0,2.1,55.0,43.0,0.6
2624,http://ufcstats.com/fighter-details/59c438c81fbf3ece,Tereza Bleda,Record: 7-1-0,"5' 9""",125,71,Orthodox,Nov 30 2001,3.02,1.81,53.0,27.0,1.86,83.0,46.0,0.7
2625,http://ufcstats.com/fighter-details/fa6796c55d6c5440,Curtis Blaydes,Record: 17-4-0 (1 NC),"6' 4""",265,80,Orthodox,Feb 18 1991,3.56,5.93,49.0,53.0,1.89,33.0,59.0,0.0
