fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Marcin Tybura,Timothy Johnson,0,1.0,0.0,0.6598220396988365,0.11999999999999966,0.2999999999999998,3.0,9.0,0.27,10.0,11.0,0.1,12.0,4.0,0.0,0.0,0.0,11.0
Curtis Blaydes,Francis Ngannou,0,-3.0,0.0,4.454483230663929,1.23,5.17,8.0,-9.0,-0.27000000000000024,-38.0,18.0,-0.3,0.0,1.0,0.0,0.0,0.0,3.0
Derrick Lewis,Gabriel Gonzaga,1,3.0,2.539999999999992,5.727583846680356,0.48,-2.21,5.0,-11.0,-0.3500000000000001,-14.0,-16.0,-1.1,10.0,0.0,0.0,0.0,0.0,5.0
Junior Dos Santos,Ben Rothwell,1,-1.0,0.0,2.2861054072553046,0.7800000000000002,-0.38000000000000006,5.0,16.0,-1.2999999999999998,11.0,9.0,-0.30000000000000004,-18.0,-5.0,0.0,0.0,0.0,6.0
Chad Laprise,Ross Pearson,0,2.0,5.0800000000000125,1.8206707734428473,1.1,0.31000000000000005,2.0,19.0,-0.5,3.0,3.0,0.0,-7.0,-12.0,0.0,0.0,0.0,-16.0
Richard Walsh,Viscardi Andrade,0,-2.0,2.539999999999992,4.733744010951403,0.5800000000000001,-0.3799999999999999,4.0,-10.0,-0.04999999999999982,0.0,-5.0,-0.09999999999999998,-10.0,-1.0,0.0,0.0,0.0,2.0
Dan Hooker,Mark Eddiva,1,7.0,10.159999999999997,3.991786447638604,1.71,-0.6599999999999999,3.0,12.0,1.7799999999999998,17.0,-3.0,0.4,17.0,9.0,0.0,0.0,0.0,17.0
Alan Jouban,Brendan O'Reilly,1,4.0,12.699999999999989,-5.577002053388091,3.77,-1.7100000000000002,3.0,1.0,1.0,22.0,21.0,-0.3,11.0,4.0,0.0,0.0,0.0,9.0
Bec Rawlings,Seo Hee Ham,1,2.0,10.159999999999997,1.9329226557152634,0.28000000000000025,0.71,3.0,40.0,0.5099999999999998,2.0,-4.0,0.2,-10.0,0.0,0.0,0.0,0.0,3.0
Steve Bosse,James Te Huna,1,-3.0,-7.6200000000000045,-0.1697467488021903,1.9500000000000002,-1.83,1.0,-4.0,2.3899999999999997,42.0,-12.0,-0.2,-4.0,-7.0,0.0,0.0,0.0,-7.0
Daniel Kelly,Antonio Carlos Junior,1,-9.0,-5.0800000000000125,-12.372347707049967,1.6700000000000002,-1.5599999999999998,-4.0,-5.0,2.4999999999999996,25.0,9.0,-0.5,2.0,-1.0,0.0,0.0,0.0,-3.0
Jake Matthews,Johnny Case,1,1.0,2.539999999999992,5.1416837782340865,-0.6800000000000002,0.010000000000000009,7.0,-4.0,-0.33000000000000007,-11.0,-1.0,0.49999999999999994,-3.0,0.0,0.0,0.0,0.0,12.0
Neil Magny,Hector Lombard,1,9.0,15.240000000000009,9.49760438056126,0.43000000000000016,0.5300000000000002,0.0,-8.0,-0.9500000000000002,-22.0,0.0,-0.2,-6.0,2.0,-1.0,0.0,0.0,19.0
Mark Hunt,Frank Mir,1,-7.0,-12.699999999999989,-5.169062286105407,0.6299999999999999,-1.51,-4.0,15.0,-0.94,10.0,13.0,-1.8,-5.0,3.0,1.0,0.0,0.0,-9.0
Justin Salas,Jason Saggo,0,-1.0,-7.6200000000000045,-3.698836413415469,0.9199999999999999,0.10000000000000009,4.0,-20.0,0.020000000000000018,-23.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Diego Sanchez,Jim Miller,1,1.0,5.0800000000000125,-1.6618754277891854,-0.16999999999999993,-0.050000000000000044,-4.0,-19.0,-0.06000000000000005,-2.0,-2.0,-1.0,-5.0,-4.0,0.0,0.0,0.0,-10.0
Darren Elkins,Chas Skelly,1,-1.0,-2.539999999999992,-0.9856262833675564,1.4300000000000002,1.11,-2.0,1.0,0.06000000000000005,17.0,3.0,-1.1999999999999997,9.0,8.0,0.0,0.0,0.0,16.0
Vitor Miranda,Marcelo Guimaraes,1,4.0,2.539999999999992,-4.292950034223135,-1.69,-1.04,-6.0,42.0,-1.46,50.0,-4.0,0.2,3.0,3.0,-1.0,0.0,0.0,3.0
Nordine Taleb,Erick Silva,1,0.0,2.539999999999992,-3.030800821355236,1.1600000000000001,1.0899999999999999,3.0,41.0,-1.5599999999999996,17.0,17.0,-1.4,-4.0,-2.0,0.0,0.0,0.0,-3.0
Siyar Bahadurzada,Brandon Thatch,1,-1.0,-7.6200000000000045,-1.2320328542094456,0.20999999999999996,-0.040000000000000036,-2.0,-5.0,-0.3999999999999999,12.0,-3.0,-0.39999999999999997,13.0,3.0,1.0,0.0,0.0,2.0
Valentina Shevchenko,Amanda Nunes,0,-3.0,-7.6200000000000045,-0.2299794661190965,-1.27,-0.16999999999999993,1.0,9.0,-0.5100000000000002,-11.0,5.0,-0.29999999999999993,0.0,-1.0,1.0,0.0,0.0,-2.0
Corey Anderson,Tom Lawlor,1,5.0,7.6200000000000045,6.357289527720739,1.9299999999999997,2.4299999999999997,4.0,18.0,-0.18999999999999995,26.0,-1.0,-1.4,4.0,-1.0,0.0,0.0,0.0,4.0
Gian Villante,Ilir Latifi,0,3.0,12.699999999999989,3.058179329226557,2.33,-1.66,-1.0,-12.0,2.5399999999999996,-17.0,-1.0,-0.3,0.0,5.0,0.0,0.0,0.0,2.0
Miesha Tate,Holly Holm,1,-4.0,-5.079999999999984,4.8350444900752905,-0.6000000000000001,0.9799999999999999,4.0,-1.0,0.31000000000000005,-23.0,-5.0,1.2,4.0,3.0,0.0,0.0,0.0,-3.0
Conor McGregor,Nate Diaz,0,-2.0,-7.6200000000000045,3.24435318275154,0.75,-0.38,4.0,25.0,0.8900000000000001,25.0,2.0,-1.2,0.0,-7.0,0.0,0.0,0.0,-13.0
Thibault Gouti,Teemu Packalen,0,-3.0,-7.619999999999976,-0.2299794661190965,1.1100000000000003,-1.08,-20.0,55.0,1.7299999999999995,-17.0,3.0,-1.2,4.0,2.0,0.0,0.0,0.0,2.0
Daniel Omielanczuk,Jarjis Danho,1,0.0,-7.6200000000000045,-1.1225188227241616,-0.29000000000000004,0.050000000000000044,7.0,10.0,-1.96,-32.0,-2.0,0.1,12.0,7.0,0.0,0.0,0.0,6.0
Norman Parke,Rustam Khabilov,0,-3.0,7.6200000000000045,0.13141683778234087,1.08,-1.9700000000000002,1.0,-15.0,0.7199999999999998,16.0,-1.0,-0.1,-1.0,2.0,1.0,0.0,0.0,-4.0
Brad Scott,Krzysztof Jotko,0,-1.0,0.0,-0.15331964407939766,0.54,-1.01,-1.0,-24.0,2.0799999999999996,-19.0,0.0,0.6,-13.0,0.0,0.0,0.0,0.0,-9.0
Yaotzin Meza,Arnold Allen,0,1.0,2.539999999999992,-12.9637234770705,-1.91,-0.06000000000000005,1.0,-30.0,-1.2399999999999998,-58.0,3.0,1.0999999999999999,2.0,9.0,0.0,0.0,0.0,-4.0
Scott Askham,Chris Dempsey,1,3.0,12.699999999999989,0.6981519507186859,0.7799999999999998,-2.2,14.0,-5.0,0.7000000000000002,49.0,-13.0,0.7,3.0,-1.0,0.0,0.0,0.0,2.0
Marlon Vera,Davey Grant,0,1.0,0.0,6.95687885010267,-0.39999999999999947,-0.68,8.0,-2.0,1.3400000000000003,9.0,-4.0,0.7,6.0,1.0,1.0,0.0,0.0,10.0
Makwan Amirkhani,Mike Wilkinson,1,6.0,7.6200000000000045,1.1498973305954825,-1.02,3.04,6.0,29.0,-0.7200000000000002,-20.0,11.0,0.20000000000000007,8.0,5.0,0.0,0.0,0.0,10.0
Brad Pickett,Francisco Rivera,1,-2.0,-5.079999999999984,-3.0390143737166326,-1.0500000000000003,1.4600000000000002,-10.0,-19.0,1.4699999999999998,-10.0,-13.0,-0.19999999999999996,14.0,7.0,0.0,0.0,0.0,3.0
Keita Nakamura,Tom Breese,0,0.0,-10.159999999999997,-7.345653661875428,-1.1099999999999999,1.65,-14.0,48.0,0.3900000000000001,-7.0,-2.0,-0.8,22.0,7.0,2.0,0.0,0.0,3.0
Thales Leites,Gegard Mousasi,0,2.0,-2.5400000000000205,-3.9014373716632442,-1.62,0.51,-10.0,-33.0,1.7800000000000002,-29.0,-16.0,0.0,-14.0,3.0,-2.0,0.0,0.0,9.0
Michael Bisping,Anderson Silva,1,-2.0,-2.5400000000000205,3.8767967145790556,1.2800000000000002,0.55,-23.0,-34.0,0.6600000000000001,-6.0,5.0,-0.5,-4.0,-2.0,0.0,0.0,0.0,4.0
Ashlee Evans-Smith,Marion Reneau,1,-1.0,5.079999999999984,10.050650239561945,0.8300000000000001,0.32999999999999996,-7.0,-41.0,1.0699999999999998,0.0,-6.0,-0.8,-3.0,-2.0,-1.0,0.0,0.0,-4.0
Oluwale Bamgbose,Daniel Sarafian,1,5.0,5.0800000000000125,4.952772073921971,0.2200000000000002,0.58,2.0,26.0,-0.3999999999999999,-16.0,-3.0,-0.7,-4.0,-2.0,0.0,0.0,0.0,-1.0
Alex Garcia,Sean Strickland,0,-4.0,-10.159999999999997,-3.6249144421629023,-4.01,2.8000000000000003,-10.0,-12.0,-1.2100000000000004,-18.0,-4.0,-0.1,-13.0,1.0,0.0,0.0,0.0,-10.0
Shane Campbell,James Krause,0,-2.0,-5.0800000000000125,0.6324435318275154,-0.7999999999999998,0.40000000000000013,10.0,10.0,-0.9200000000000004,23.0,-6.0,-0.9,-14.0,-3.0,0.0,0.0,0.0,-8.0
Joe Riggs,Chris Camozzi,0,-5.0,-5.0800000000000125,-4.158795345653662,-1.1599999999999997,2.18,7.0,36.0,-1.27,5.0,1.0,0.09999999999999998,20.0,4.0,0.0,0.0,0.0,-7.0
Tatsuya Kawajiri,Dennis Bermudez,0,3.0,2.539999999999992,-8.59958932238193,-2.38,-0.26000000000000023,-2.0,8.0,-1.06,-19.0,-9.0,0.0,19.0,2.0,2.0,0.0,0.0,-11.0
Augusto Mendes,Cody Garbrandt,0,0.0,-5.079999999999984,-8.344969199178644,-0.5800000000000001,0.6200000000000001,-6.0,-1.0,0.020000000000000018,2.0,-5.0,0.0,-7.0,-3.0,0.0,0.0,0.0,-10.0
Roan Carneiro,Derek Brunson,0,-1.0,-5.079999999999984,-5.590691307323751,-2.05,-0.0900000000000003,-1.0,9.0,-1.2299999999999998,-2.0,11.0,0.7999999999999999,-2.0,2.0,0.0,0.0,0.0,-12.0
Donald Cerrone,Alex Oliveira,1,-3.0,5.079999999999984,-4.900752908966461,1.42,-1.1900000000000002,-5.0,-5.0,1.9300000000000006,10.0,7.0,0.6,14.0,5.0,-1.0,0.0,0.0,16.0
Mike Jackson,Mickey Gall,0,0.0,0.0,-6.836413415468857,1.5500000000000003,-0.5,11.0,3.0,-0.52,52.0,13.0,-1.9,-6.0,-3.0,0.0,0.0,0.0,-7.0
Noad Lahat,Diego Rivas,0,0.0,2.539999999999992,-7.425051334702259,1.42,0.5800000000000001,6.0,-34.0,-0.6700000000000002,-48.0,11.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0
Ray Borg,Justin Scoggins,0,-3.0,-7.6200000000000045,1.2566735112936345,-2.04,0.4700000000000002,1.0,-13.0,-0.2300000000000002,-36.0,-7.0,0.5,2.0,0.0,0.0,0.0,0.0,3.0
Damian Grabowski,Derrick Lewis,0,-4.0,-5.0800000000000125,-4.741957563312799,1.4,-0.59,-14.0,-28.0,5.0600000000000005,-52.0,10.0,0.0,-7.0,-6.0,0.0,0.0,0.0,-24.0
Joshua Burkman,KJ Noons,1,2.0,0.0,-2.6584531143052703,-0.9900000000000002,2.4499999999999997,8.0,16.0,-0.6499999999999999,4.0,-14.0,0.3,15.0,7.0,0.0,0.0,0.0,13.0
Mike Pyle,Sean Spencer,1,0.0,5.079999999999984,-11.767282683093772,-1.5,1.6600000000000001,13.0,2.0,-1.1799999999999997,2.0,0.0,1.5,15.0,8.0,1.0,0.0,0.0,11.0
Misha Cirkunov,Alex Nicholson,1,0.0,-2.539999999999992,-3.1759069130732374,-0.26000000000000023,4.15,8.0,39.0,-1.5900000000000003,26.0,10.0,1.2,8.0,5.0,0.0,0.0,0.0,9.0
Joseph Benavidez,Zach Makovsky,1,1.0,0.0,1.2840520191649556,1.58,-2.3,-9.0,0.0,0.4299999999999997,6.0,-1.0,0.3,8.0,0.0,0.0,0.0,0.0,14.0
Rafael Cavalcante,Ovince Saint Preux,0,-6.0,-5.0800000000000125,-2.9815195071868583,0.0,-0.5499999999999999,6.0,2.0,0.48,-3.0,3.0,-0.4,-14.0,-10.0,0.0,0.0,0.0,-21.0
Jared Rosholt,Roy Nelson,0,2.0,5.0800000000000125,10.121834360027378,-0.10000000000000009,0.6900000000000002,10.0,14.0,-3.27,1.0,13.0,0.0,-8.0,-10.0,0.0,0.0,0.0,-11.0
Johny Hendricks,Stephen Thompson,0,-6.0,-7.6200000000000045,0.5831622176591376,-0.71,3.56,0.0,5.0,0.9500000000000002,-1.0,-2.0,0.3,1.0,2.0,-1.0,0.0,0.0,2.0
Matt Dwyer,Randy Brown,0,-2.0,2.539999999999992,-0.5557837097878165,-1.81,-0.36000000000000004,-13.0,-29.0,-0.08999999999999986,-14.0,0.0,-0.5,-8.0,-1.0,0.0,0.0,0.0,-12.0
Alex Caceres,Masio Fullen,1,3.0,0.0,1.7056810403832992,1.7000000000000002,0.09000000000000008,18.0,35.0,-0.5699999999999998,-5.0,9.0,0.7,10.0,7.0,0.0,0.0,0.0,26.0
George Sullivan,Alexander Yakovlev,0,-1.0,-7.6200000000000045,-3.34839151266256,1.7899999999999998,-0.2899999999999998,-8.0,-15.0,0.009999999999999787,-34.0,-1.0,0.6,-7.0,-3.0,-1.0,0.0,0.0,-2.0
Dustin Ortiz,Wilson Reis,0,0.0,2.539999999999992,3.9671457905544147,1.1099999999999999,-2.1400000000000006,15.0,-6.0,-0.8700000000000001,5.0,1.0,-0.5,-4.0,-2.0,0.0,0.0,0.0,1.0
Rafael Natal,Kevin Casey,1,0.0,2.539999999999992,1.5277207392197125,0.8300000000000001,1.7599999999999998,-6.0,12.0,-1.2799999999999998,50.0,11.0,0.09999999999999998,12.0,4.0,-1.0,0.0,0.0,10.0
Olivier Aubin-Mercier,Diego Ferreira,0,-4.0,0.0,4.098562628336755,-2.18,1.65,14.0,11.0,-0.44999999999999973,7.0,-1.0,-0.19999999999999996,-7.0,0.0,0.0,0.0,0.0,-2.0
Jake Ellenberger,Tarec Saffiedine,0,1.0,-2.5400000000000205,-1.4428473648186173,-1.5799999999999996,1.52,-8.0,11.0,-0.22999999999999998,2.0,-2.0,0.30000000000000004,15.0,8.0,0.0,0.0,0.0,15.0
Bryan Barberena,Sage Northcutt,1,1.0,0.0,-6.828199863107461,1.9500000000000002,-1.67,-4.0,-12.0,2.7800000000000002,8.0,-14.0,-0.3,7.0,9.0,0.0,0.0,0.0,10.0
Jimmie Rivera,Iuri Alcantara,1,-3.0,-12.699999999999989,8.900752908966462,1.31,-0.5599999999999999,-5.0,-35.0,1.1099999999999999,32.0,11.0,-0.7000000000000001,-12.0,-5.0,0.0,0.0,0.0,-7.0
Josh Barnett,Ben Rothwell,0,0.0,-2.539999999999992,-3.9342915811088295,-0.5099999999999998,0.58,8.0,21.0,-2.52,-15.0,10.0,0.9999999999999999,-4.0,-6.0,0.0,0.0,0.0,-7.0
Anthony Johnson,Ryan Bader,1,4.0,0.0,0.7474332648870636,0.43000000000000016,-0.94,4.0,13.0,0.44000000000000017,-3.0,-11.0,0.19999999999999996,-1.0,1.0,0.0,0.0,0.0,-1.0
Joey Gomez,Rob Font,0,0.0,5.0800000000000125,2.1793292265571527,-1.98,1.04,4.0,-9.0,-0.3700000000000001,-46.0,-7.0,-0.4,-13.0,-6.0,0.0,0.0,0.0,-14.0
Joey Gomez,Rob Font,0,2.0,5.0800000000000125,-0.9281314168377823,-3.27,-0.33999999999999997,-17.0,63.0,0.7599999999999998,4.0,-2.0,-0.4,-14.0,-5.0,0.0,0.0,0.0,-14.0
Charles Rosa,Kyle Bochniak,1,-1.0,5.079999999999984,-0.4517453798767967,0.4500000000000002,0.53,5.0,20.0,-1.2500000000000004,-24.0,-11.0,1.0,6.0,3.0,0.0,0.0,0.0,6.0
Sean O'Connell,Ilir Latifi,0,1.0,7.619999999999976,1.0978781656399725,3.41,-2.11,3.0,-35.0,3.8399999999999994,-70.0,-11.0,0.2,0.0,0.0,0.0,0.0,0.0,-9.0
Paul Felder,Daron Cruickshank,1,-2.0,7.6200000000000045,-1.1279945242984257,0.8200000000000003,-1.75,6.0,-13.0,0.45999999999999996,4.0,-9.0,0.0,-1.0,-4.0,0.0,0.0,0.0,2.0
Maximo Blanco,Luke Sanders,0,4.0,5.079999999999984,-2.1574264202600957,-2.5,1.1400000000000001,-8.0,6.0,-1.1800000000000002,-9.0,16.0,0.09999999999999998,-1.0,3.0,1.0,0.0,0.0,1.0
Tim Boetsch,Ed Herman,0,-3.0,-2.539999999999992,0.32306639288158795,-0.3799999999999999,-0.51,2.0,-13.0,-0.81,0.0,15.0,-0.19999999999999996,-6.0,-3.0,0.0,0.0,0.0,-2.0
Ben Saunders,Patrick Cote,0,2.0,7.6200000000000045,3.1184120465434635,0.41999999999999993,-0.48000000000000004,2.0,20.0,0.3700000000000001,23.0,3.0,1.1,-1.0,2.0,2.0,0.0,0.0,-2.0
Ross Pearson,Francisco Trinaldo,0,-1.0,-2.539999999999992,6.091718001368926,0.5500000000000003,-0.24,-5.0,-7.0,1.42,15.0,2.0,-0.5,-8.0,7.0,0.0,0.0,0.0,0.0
Matt Mitrione,Travis Browne,0,3.0,-7.6200000000000045,-4.005475701574264,0.6199999999999997,-1.21,9.0,-68.0,-1.5199999999999996,-20.0,22.0,0.49999999999999994,-6.0,-2.0,-1.0,0.0,0.0,-3.0
Anthony Pettis,Eddie Alvarez,0,3.0,2.5400000000000205,3.0444900752908968,-1.2700000000000005,-2.31,6.0,14.0,-0.9499999999999997,-32.0,-1.0,0.6000000000000001,-5.0,4.0,0.0,0.0,0.0,12.0
Dominick Cruz,TJ Dillashaw,1,1.0,5.079999999999984,-0.917180013689254,-1.1799999999999997,1.2599999999999998,-8.0,12.0,-0.8600000000000003,6.0,8.0,-0.7000000000000001,6.0,-1.0,0.0,0.0,0.0,-8.0
Joe Soto,Michinori Tanaka,0,-2.0,2.5400000000000205,-3.5373032169746748,1.39,-1.5499999999999998,4.0,-17.0,3.38,27.0,17.0,1.7,7.0,4.0,0.0,0.0,0.0,3.0
Dustin Poirier,Joe Duffy,1,-1.0,-2.5400000000000205,0.919917864476386,2.81,0.40000000000000013,16.0,-30.0,0.52,-1.0,-1.0,0.5,13.0,3.0,0.0,0.0,0.0,21.0
Scott Holtzman,Drew Dober,0,-1.0,2.539999999999992,-5.054072553045859,-0.2599999999999998,1.1999999999999997,7.0,39.0,-0.7999999999999998,11.0,4.0,0.1,-13.0,-6.0,0.0,0.0,0.0,-9.0
Justine Kish,Nina Nunes,1,0.0,0.0,2.3600273785078714,0.1200000000000001,0.63,3.0,0.0,1.1199999999999997,-23.0,2.0,-0.4,-4.0,-3.0,0.0,0.0,0.0,-2.0
Alex Morono,Kyle Noke,1,-4.0,-5.079999999999984,10.412046543463381,1.7899999999999996,-1.19,-9.0,-32.0,2.08,-16.0,-6.0,-0.5,1.0,-1.0,-1.0,0.0,0.0,7.0
Michael McDonald,Masanori Kanehara,1,3.0,5.079999999999984,8.15605749486653,0.81,-0.34999999999999987,-7.0,16.0,1.13,-11.0,-5.0,0.4999999999999999,-9.0,-8.0,-5.0,0.0,0.0,6.0
Tony Sims,Abel Trujillo,0,0.0,7.6200000000000045,2.0725530458590007,-0.8399999999999999,-1.4700000000000002,22.0,5.0,-1.55,10.0,6.0,0.29999999999999993,-3.0,-4.0,0.0,0.0,0.0,-8.0
Diego Brandao,Brian Ortega,0,-5.0,-2.539999999999992,-3.7399041752224504,-1.2500000000000004,2.26,9.0,45.0,-3.2800000000000002,24.0,13.0,-0.6,7.0,8.0,0.0,0.0,0.0,-1.0
Albert Tumenov,Lorenz Larkin,1,1.0,0.0,5.3114305270362765,0.22999999999999998,-0.07,-4.0,-22.0,0.5999999999999996,-4.0,-5.0,-0.1,0.0,-2.0,0.0,0.0,0.0,-2.0
Andrei Arlovski,Stipe Miocic,0,-3.0,-2.539999999999992,-3.5373032169746748,-1.0400000000000005,-1.4700000000000002,-8.0,2.0,-0.6199999999999997,8.0,3.0,0.2,14.0,18.0,0.0,0.0,0.0,22.0
Robbie Lawler,Carlos Condit,1,-1.0,-7.6200000000000045,-2.102669404517454,0.18999999999999995,0.06000000000000005,8.0,18.0,2.0,27.0,4.0,-1.0,-2.0,2.0,0.0,0.0,0.0,6.0
Kamaru Usman,Leon Edwards,1,2.0,-5.0800000000000125,-4.290212183436003,1.5600000000000005,1.5599999999999998,-1.0,12.0,0.3400000000000003,20.0,1.0,-0.19999999999999998,-1.0,1.0,0.0,0.0,0.0,2.0
Nik Lentz,Danny Castillo,1,-3.0,-2.539999999999992,4.969199178644764,0.8700000000000001,0.34999999999999964,5.0,-6.0,1.29,-20.0,-12.0,1.0,13.0,2.0,2.0,0.0,0.0,11.0
Tamdan McCrory,Josh Samman,1,-3.0,2.539999999999992,-1.3552361396303902,-0.010000000000000231,1.1899999999999997,-3.0,17.0,-0.8700000000000001,0.0,12.0,2.1,1.0,1.0,0.0,0.0,0.0,4.0
Sarah Kaufman,Valentina Shevchenko,0,0.0,0.0,-2.461327857631759,3.3700000000000006,-2.18,-6.0,-6.0,1.8900000000000001,10.0,0.0,-0.4,-5.0,0.0,-1.0,0.0,0.0,-12.0
Nate Marquardt,CB Dollaway,1,-2.0,-5.0800000000000125,-4.306639288158795,0.06000000000000005,-1.6799999999999997,2.0,-3.0,-0.26000000000000023,8.0,1.0,-0.3999999999999999,18.0,10.0,2.0,0.0,0.0,5.0
Myles Jury,Charles Oliveira,0,-1.0,0.0,-0.9609856262833676,-0.6000000000000001,-0.1599999999999997,-11.0,15.0,-1.0299999999999998,-5.0,15.0,-2.4000000000000004,-17.0,-5.0,0.0,0.0,0.0,-20.0
Randa Markos,Karolina Kowalkiewicz,0,-1.0,2.539999999999992,-0.1806981519507187,-2.9499999999999997,0.7600000000000001,0.0,2.0,-2.4499999999999997,-22.0,-1.0,0.0,-5.0,5.0,1.0,0.0,0.0,2.0
Michael Johnson,Nate Diaz,0,-3.0,-5.079999999999984,1.1334702258726899,-0.29000000000000004,-0.5900000000000001,-6.0,8.0,0.14000000000000012,39.0,6.0,-1.2,0.0,6.0,0.0,0.0,0.0,1.0
Alistair Overeem,Junior Dos Santos,1,3.0,0.0,-3.704312114989733,-0.8200000000000003,1.1199999999999999,17.0,5.0,-0.8900000000000001,-8.0,1.0,0.7000000000000001,26.0,10.0,0.0,0.0,0.0,-3.0
Rafael Dos Anjos,Donald Cerrone,1,-3.0,-12.699999999999989,1.5797399041752225,-0.8900000000000001,0.8499999999999999,1.0,2.0,-1.2900000000000005,-17.0,7.0,-0.6,-4.0,-2.0,0.0,0.0,0.0,-4.0
Yancy Medeiros,John Makdessi,1,7.0,5.0800000000000125,2.346338124572211,-1.1599999999999993,0.33,-12.0,50.0,1.5199999999999996,-13.0,-21.0,0.7,-3.0,-1.0,0.0,0.0,0.0,-5.0
Magomed Mustafaev,Joe Proctor,1,-1.0,-5.0800000000000125,2.9787816563997263,-0.8000000000000003,3.31,22.0,50.0,-1.25,-47.0,-18.0,-1.4,3.0,-1.0,0.0,0.0,0.0,-3.0
Kevin Lee,Leonardo Santos,0,2.0,-7.6200000000000045,12.580424366872005,1.06,2.3000000000000003,-4.0,18.0,0.20000000000000018,-11.0,-4.0,0.6000000000000001,0.0,1.0,-1.0,0.0,0.0,8.0
Colby Covington,Warlley Alves,0,0.0,0.0,-2.86652977412731,0.8499999999999996,2.6999999999999997,-9.0,-5.0,-1.1600000000000001,-8.0,5.0,-0.7,2.0,-4.0,0.0,0.0,0.0,0.0
Tecia Torres,Jocelyn Jones-Lybarger,1,-4.0,-15.240000000000009,3.865845311430527,1.7800000000000002,0.32,17.0,-11.0,-1.2400000000000002,-20.0,5.0,0.1,7.0,2.0,0.0,0.0,0.0,12.0
Frankie Saenz,Urijah Faber,0,-1.0,0.0,1.2484599589322383,1.29,0.19999999999999996,7.0,1.0,0.9100000000000001,3.0,-12.0,-0.7000000000000001,-22.0,-4.0,0.0,0.0,0.0,-8.0
Max Holloway,Jeremy Stephens,1,-2.0,5.0800000000000125,5.5277207392197125,4.0,-0.8899999999999999,7.0,15.0,1.7000000000000002,19.0,1.0,-0.10000000000000003,-3.0,-12.0,0.0,0.0,0.0,-6.0
Demian Maia,Gunnar Nelson,1,0.0,5.079999999999984,-10.72416153319644,-0.040000000000000036,0.5900000000000003,-18.0,-35.0,-0.9300000000000002,-5.0,14.0,0.0,9.0,6.0,-1.0,0.0,0.0,18.0
Jacare Souza,Yoel Romero,0,-1.0,2.539999999999992,2.6036960985626285,-0.9100000000000001,0.9999999999999998,-2.0,9.0,-0.21999999999999975,-21.0,2.0,1.3,13.0,5.0,0.0,0.0,0.0,3.0
Luke Rockhold,Chris Weidman,1,-1.0,2.539999999999992,0.33401779603011633,1.1199999999999997,-2.9000000000000004,6.0,-14.0,-0.5899999999999999,0.0,3.0,0.19999999999999996,1.0,-1.0,0.0,0.0,0.0,-7.0
Jose Aldo,Conor McGregor,0,-4.0,-5.079999999999984,-1.8453114305270362,-1.7500000000000004,-0.18000000000000005,-3.0,-1.0,-0.9199999999999999,25.0,6.0,0.0,9.0,2.0,0.0,0.0,0.0,6.0
Ali Bagautinov,Geane Herrera,1,-1.0,-2.539999999999992,-4.960985626283367,1.34,1.6799999999999997,11.0,-1.0,-1.9800000000000004,27.0,0.0,-0.3,6.0,3.0,0.0,0.0,0.0,3.0
Alvaro Herrera Mendoza,Vicente Luque,0,-1.0,2.539999999999992,-1.538672142368241,-3.2800000000000002,-1.04,-14.0,-60.0,-1.7500000000000004,-29.0,3.0,0.40000000000000013,-13.0,-3.0,-1.0,0.0,0.0,-16.0
Takanori Gomi,Jim Miller,0,-1.0,-2.539999999999992,-4.936344969199179,0.9500000000000002,-0.33000000000000007,0.0,22.0,0.43999999999999995,15.0,2.0,-1.0,-1.0,-3.0,0.0,0.0,0.0,-29.0
Devin Clark,Alex Nicholson,0,-2.0,-10.159999999999997,-0.05475701574264202,-1.13,2.35,12.0,33.0,-1.7000000000000002,10.0,-4.0,-0.4,7.0,4.0,0.0,0.0,0.0,12.0
Luis Henrique,Dmitrii Smoliakov,1,0.0,0.0,11.044490075290897,0.3700000000000001,3.09,1.0,36.0,-1.5899999999999999,-25.0,-8.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0
Chase Sherman,Justin Ledet,0,-2.0,0.0,1.1334702258726899,2.69,-0.14,6.0,0.0,1.83,32.0,3.0,-0.2,7.0,8.0,0.0,0.0,0.0,8.0
Leandro Silva,Rustam Khabilov,0,-1.0,2.539999999999992,-0.9801505817932923,0.41000000000000014,-2.1900000000000004,14.0,-4.0,-0.08000000000000007,4.0,-2.0,0.30000000000000004,-4.0,2.0,1.0,0.0,0.0,-5.0
Yancy Medeiros,Sean Spencer,1,1.0,0.0,0.2026009582477755,0.1200000000000001,0.19,5.0,17.0,1.6500000000000004,5.0,-13.0,0.7,3.0,2.0,0.0,0.0,0.0,7.0
Glaico Franca Moreira,Gregor Gillespie,0,6.0,12.699999999999989,4.292950034223135,-1.3900000000000001,-4.18,-10.0,-6.0,1.1600000000000001,-24.0,-10.0,-0.5,1.0,4.0,0.0,0.0,0.0,-5.0
