fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Yanal Ashmouz,Chris Duncan,0,-3.0,-2.5400000000000205,1.88911704312115,-2.0,-2.71,-4.0,11.0,1.6099999999999994,-50.0,10.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0
Pannie Kianzad,Ketlen Vieira,0,-2.0,-2.539999999999992,0.28473648186173856,1.83,-1.1600000000000001,8.0,-14.0,-0.16999999999999993,-21.0,2.0,-0.5,3.0,4.0,0.0,0.0,0.0,-2.0
Nick Diaz,Robbie Lawler,1,2.0,5.079999999999984,1.3689253935660506,1.8599999999999999,0.63,-5.0,-32.0,-0.8300000000000001,-5.0,0.0,1.0,-4.0,-6.0,0.0,0.0,0.0,-10.0
Bryan Barberena,Makhmud Muradov,0,-3.0,-5.0800000000000125,-0.7693360711841205,1.3200000000000003,-2.9,5.0,-44.0,2.18,-28.0,-17.0,0.09999999999999998,-8.0,3.0,0.0,0.0,0.0,12.0
Jamal Pogues,Mick Parkin,0,-2.0,-2.539999999999992,0.16427104722792607,-2.8999999999999995,1.23,-18.0,-52.0,1.1800000000000002,33.0,-15.0,-0.9,3.0,4.0,0.0,0.0,0.0,1.0
Marc Diakiese,Joel Alvarez,0,-4.0,-12.699999999999989,0.038329911019849415,-0.96,3.32,-6.0,44.0,-0.6400000000000001,57.0,3.0,-1.3,-4.0,4.0,0.0,0.0,0.0,7.0
Danny Roberts,Jonny Parsons,0,5.0,10.159999999999997,-4.147843942505133,-1.4700000000000002,0.24,-5.0,9.0,-1.1599999999999997,-9.0,-10.0,0.2,9.0,6.0,0.0,0.0,0.0,13.0
Daniel Marcos,Davey Grant,1,0.0,-2.539999999999992,7.216974674880219,0.11000000000000032,-0.86,4.0,9.0,-0.11999999999999966,28.0,14.0,-0.2,0.0,-7.0,0.0,0.0,0.0,-10.0
Lerone Murphy,Josh Culibao,1,0.0,-2.5400000000000205,-2.839151266255989,0.9699999999999998,1.29,8.0,46.0,-0.8900000000000001,-26.0,0.0,0.5,2.0,-2.0,0.0,0.0,0.0,0.0
Fares Ziam,Jai Herbert,1,-2.0,0.0,8.854209445585216,0.1299999999999999,0.77,6.0,13.0,-1.1400000000000001,18.0,20.0,0.0,2.0,-1.0,-1.0,0.0,0.0,-1.0
Andre Muniz,Paul Craig,0,2.0,-5.0800000000000125,2.2258726899383983,-0.3999999999999999,1.0600000000000003,4.0,17.0,-0.8200000000000003,-7.0,7.0,-0.19999999999999996,6.0,0.0,-1.0,0.0,0.0,-9.0
Nathaniel Wood,Andre Fili,1,-5.0,-12.699999999999989,2.869267624914442,2.08,-0.4800000000000002,13.0,1.0,0.08999999999999986,1.0,5.0,0.2,-2.0,-4.0,0.0,0.0,0.0,-10.0
Molly McCann,Julija Stoliarenko,0,-4.0,-7.6200000000000045,-2.9295003422313486,2.8699999999999997,0.7399999999999999,9.0,5.0,0.34000000000000075,-19.0,19.0,-0.8999999999999999,2.0,-2.0,-2.0,0.0,0.0,4.0
Marcin Tybura,Tom Aspinall,0,0.0,-5.079999999999984,-7.4195756331279945,-4.1000000000000005,-2.3100000000000005,-18.0,-67.0,0.4500000000000002,-21.0,-10.0,-1.7999999999999998,11.0,5.0,0.0,0.0,0.0,11.0
Alexander Munoz,Carl Deaton,1,3.0,5.079999999999984,0.2600958247775496,2.17,3.0,11.0,40.0,2.8800000000000003,50.0,-6.0,0.0,-10.0,-5.0,0.0,0.0,0.0,1.0
Tyson Nam,Azat Maksum,0,-2.0,0.0,-11.326488706365502,0.8000000000000003,-2.0,9.0,-18.0,-0.4300000000000006,87.0,4.0,0.0,4.0,14.0,1.0,0.0,0.0,7.0
